Councils by Population Size,Name,Organisation ,Category,Population,,Latitude,Longitude,Co-ordinates,Demand - local (tonnes),Demand - wider (tonnes),,,
1,Glasgow,Glasgow City Council,Planning authority - engaged,626,,55.86,-4.25,"55.86, -4.25",14398,48070,,,http://goldsmith.journeyman.cc:4444/?docid=1k5SAiQc1Llzal1x4WaR10SovEZaaKb19M1dvIeG-t1s#/map
2,Edinburgh,City of Edinburgh Council ,Planning authority not engaged,518,,55.96,-3.18,"55.96, -3.18",11914,20631,,,
3,Fife,Fife Council,Planning authority not engaged,372,,56.2,-3.16,"56.20, -3.16",8556,11983,,,
4,North Lanarkshire,North Lanarkshire Council,Planning authority not engaged,340,,55.95,-3.99,"55.95, -3.99",7820,,,,
5,South Lanarkshire,South Lanarkshire Council,Planning authority not engaged,319,,55.78,-4.05,"55.78, -4.05",7337,,,,
6,Aberdeenshire,Aberdeenshire Council,Planning authority - engaged,261,,57.28,-2.37,"57.28, -2.37",6003,,,,
7,Highland,Highland Council,Planning authority not engaged,235,,57.48,-4.22,"57.48, -4.22",5405,,,,
8,Aberdeen,Aberdeen City Council.,Planning authority not engaged,228,,57.155,-2.264,"57.155, -2.264",5244,,,,
9,West Lothian,West Lothian Council,Planning authority not engaged,182,,55.93,-3.46,"55.93, -3.46",4186,,,,
10,Renfrewshire,Renfrewshire Council,Planning authority not engaged,178,3259,55.84,-4.42,"55.84, -4.42",4094,,,,
11,Falkirk,Falkirk Council,Planning authority not engaged,160,,55.99,-3.78,"55.99,-3.78",3680,,,,
12,Perth and Kinross,Perth and Kinross Council,Planning authority not engaged,151,,56.39,-3.43,"56.39, -3.43",3473,,,,
13,Dumfries and Galloway,Dumfries and Galloway Council.,Planning authority not engaged,149,,55.07,-3.603,"55.07,-3.603",3427,,,,
14,Dundee,Dundee City Council.,Planning authority not engaged,149,,56.28,-2.58,"56.28, -2.58",3427,,,,
15,North Ayrshire,North Ayrshire Council,Planning authority not engaged,135,,55.61,-4.67,"55.61, -4.67",3105,,,,
16,East Ayrshire,East Ayrshire Council,Planning authority not engaged,122,,55.61,-4.5,"55.61, -4.5",2806,,,,
17,Angus,Angus Council.,Planning authority not engaged,116,,56.65,-2.88,"56.65, -2.88",2668,,,,
18,Scottish Borders,Scottish Borders Council,Planning authority not engaged,115,,55.61,-2.8,"55.61, -2.80",2645,,,,
19,South Ayrshire,South Ayrshire Council,Planning authority not engaged,113,,55.46,-4.62,"55.46, -4.62",2599,,,,
20,East Dunbartonshire,East Dunbartonshire Council,Planning authority not engaged,108,,55.94,-5.15,"55.95, -5.15",2484,,,,
21,East Lothian,East Lothian Council,Planning authority not engaged,106,,55.95,-2.78,"55.95, -2.78",2438,,,,
22,Moray,Moray Council,Planning authority not engaged,96,,57.65,-3.31,"57.65, -3.31",2208,,,,
23,East Renfrewshire,East Renfrewshire Council,Planning authority not engaged,95,,55.79,-4.31,"55.79, -4.31",2185,,,,
24,Stirling,Stirling Council,Planning authority not engaged,94,,56.11,-3.94,"56.11, -3.94",2162,,,,
